                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.70448,                0.72493,                  1.129,                0.87199,                0.87681,                0.92656,                0.72983,                0.84788,                0.62854,                 1.0022,              0.0010224,              0.0010224,              0.0010224
                     82,                0.70897,                0.74729,                 1.1371,                0.97311,                0.82971,                0.91543,                 0.7213,                0.81772,                0.63781,                0.98827,                0.00101,                0.00101,                0.00101
                     83,                 0.6973,                0.71981,                 1.1253,                0.95632,                 0.8442,                0.92646,                0.72756,                0.81144,                0.63263,                0.96702,             0.00099763,             0.00099763,             0.00099763
                     84,                0.68825,                0.71896,                 1.1201,                0.94321,                0.84058,                0.92436,                0.72478,                0.81071,                0.62547,                0.98868,             0.00098525,             0.00098525,             0.00098525
                     85,                0.69338,                0.71438,                  1.119,                0.95582,                0.86222,                0.93611,                0.72938,                0.82763,                0.63709,                0.99466,             0.00097287,             0.00097287,             0.00097287
                     86,                0.68401,                0.71622,                 1.1127,                  0.964,                0.82971,                0.92199,                0.73377,                0.81748,                  0.615,                 1.0058,              0.0009605,              0.0009605,              0.0009605
                     87,                0.67486,                0.71848,                 1.1129,                0.96067,                0.82246,                0.92092,                0.73123,                0.82038,                0.65415,                0.99597,             0.00094812,             0.00094812,             0.00094812
                     88,                0.69013,                 0.7289,                 1.1248,                 0.9455,                0.85145,                0.92073,                0.72845,                0.79401,                0.63403,                0.96739,             0.00093575,             0.00093575,             0.00093575
                     89,                0.68277,                0.70521,                 1.1125,                0.94594,                0.85507,                0.92745,                0.72594,                0.85465,                0.64743,                 1.0393,             0.00092338,             0.00092338,             0.00092338
                     90,                0.67281,                 0.6847,                 1.1061,                0.93012,                0.85145,                0.92283,                0.73584,                0.84148,                0.66448,                0.99786,               0.000911,               0.000911,               0.000911
                     91,                0.65954,                0.68068,                 1.1053,                 0.9554,                0.83696,                0.93588,                0.73488,                0.82898,                0.57592,                   1.01,             0.00089863,             0.00089863,             0.00089863
                     92,                0.66233,                0.68756,                 1.1063,                 0.9424,                0.85145,                0.93044,                0.73451,                0.80742,                 0.6159,                0.97761,             0.00088625,             0.00088625,             0.00088625
                     93,                0.67288,                0.71288,                 1.1076,                 0.9441,                0.85664,                0.92887,                0.73542,                0.81184,                0.59575,                0.99069,             0.00087388,             0.00087388,             0.00087388
                     94,                0.66625,                0.68799,                  1.104,                0.95048,                0.84058,                0.93863,                0.73877,                0.82286,                0.60984,                0.99603,              0.0008615,              0.0008615,              0.0008615
                     95,                0.64458,                0.66547,                 1.0896,                0.94898,                0.85145,                0.92831,                0.72954,                0.81746,                0.61813,                0.99975,             0.00084912,             0.00084912,             0.00084912
                     96,                0.66527,                0.67759,                 1.0987,                0.94092,                0.86557,                0.93552,                0.74022,                 0.8096,                0.60209,                0.98756,             0.00083675,             0.00083675,             0.00083675
                     97,                0.64566,                0.65091,                 1.0924,                0.92124,                0.87319,                 0.9351,                0.74297,                0.80426,                0.60384,                0.97423,             0.00082438,             0.00082438,             0.00082438
                     98,                0.64138,                0.65293,                 1.0869,                0.93814,                0.85507,                0.92584,                0.73006,                0.82444,                0.61722,                  1.002,               0.000812,               0.000812,               0.000812
                     99,                0.63028,                0.63832,                 1.0815,                0.92581,                0.85904,                0.92949,                0.73151,                0.84486,                0.62889,                0.99941,             0.00079963,             0.00079963,             0.00079963
                    100,                0.64862,                0.65974,                 1.0956,                0.94043,                0.87319,                 0.9348,                0.74311,                0.81909,                 0.5963,                0.98233,             0.00078725,             0.00078725,             0.00078725
                    101,                0.63805,                0.65481,                 1.0919,                0.92611,                0.86285,                0.93392,                0.74654,                0.79023,                0.60022,                0.96412,             0.00077487,             0.00077487,             0.00077487
                    102,                0.63481,                0.63787,                 1.0874,                0.97152,                0.86523,                0.94817,                0.74649,                0.79517,                0.58294,                0.96776,              0.0007625,              0.0007625,              0.0007625
                    103,                0.64156,                0.64196,                 1.0847,                0.95362,                0.87681,                0.93863,                0.74159,                 0.7689,                 0.5888,                0.96797,             0.00075013,             0.00075013,             0.00075013
                    104,                0.63846,                0.63519,                 1.0879,                0.93722,                0.85145,                0.93255,                0.72995,                0.80356,                0.59362,                0.98611,             0.00073775,             0.00073775,             0.00073775
                    105,                0.63027,                0.63963,                 1.0868,                0.94991,                0.86232,                0.93901,                0.74394,                0.78906,                0.56808,                0.96853,             0.00072537,             0.00072537,             0.00072537
                    106,                0.63001,                 0.6364,                 1.0826,                0.94324,                 0.8587,                0.93614,                0.74996,                 0.7758,                 0.5981,                 0.9455,               0.000713,               0.000713,               0.000713
                    107,                0.62128,                0.62892,                 1.0738,                0.93446,                0.87824,                0.93592,                 0.7421,                0.80543,                0.59317,                0.98725,             0.00070063,             0.00070063,             0.00070063
                    108,                0.61119,                0.61899,                 1.0687,                0.95232,                0.86837,                0.92718,                0.73942,                 0.7894,                0.60281,                0.95767,             0.00068825,             0.00068825,             0.00068825
                    109,                0.60307,                0.61247,                  1.064,                0.93797,                0.87665,                0.93227,                0.74346,                 0.7703,                0.57936,                0.94269,             0.00067588,             0.00067588,             0.00067588
                    110,                0.60767,                0.61234,                 1.0647,                0.94083,                0.86417,                0.93664,                0.74469,                0.79074,                0.60169,                0.96664,              0.0006635,              0.0006635,              0.0006635
                    111,                0.60888,                0.60932,                 1.0654,                0.96325,                 0.8546,                0.93707,                0.74962,                0.76789,                0.59309,                0.93301,             0.00065113,             0.00065113,             0.00065113
                    112,                0.60386,                0.59817,                 1.0647,                0.94705,                0.85507,                0.92883,                0.74536,                0.77817,                0.59163,                0.95171,             0.00063875,             0.00063875,             0.00063875
                    113,                0.60669,                0.61012,                 1.0674,                0.95216,                 0.8587,                0.93634,                 0.7425,                 0.7875,                0.58274,                0.96057,             0.00062637,             0.00062637,             0.00062637
                    114,                0.61023,                0.61691,                 1.0652,                0.94228,                0.88727,                0.94074,                0.75019,                0.78118,                 0.5504,                0.94784,               0.000614,               0.000614,               0.000614
                    115,                0.60041,                0.59219,                 1.0615,                0.96362,                0.86374,                0.93985,                0.74839,                0.76932,                0.55685,                0.94376,             0.00060162,             0.00060162,             0.00060162
                    116,                0.58049,                 0.5871,                 1.0534,                0.94264,                0.86594,                0.93383,                0.75072,                0.75817,                 0.5767,                0.93632,             0.00058925,             0.00058925,             0.00058925
